Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
82; 2,699E0; 7,142E-1; 4,129E0; -3,842E0; -4,726E1
83; 2,732E0; 6,416E-1; 2,669E0; -2,179E0; -4,380E1
84; 2,765E0; 5,895E-1; 1,323E0; -1,562E0; -4,041E1
85; 2,799E0; 6,011E-1; 2,367E-1; 3,459E-1; -3,261E1
86; 2,832E0; 6,806E-1; -6,113E-1; 2,389E0; -2,545E1
87; 2,865E0; 7,464E-1; -1,125E0; 1,972E0; -1,543E1
88; 2,899E0; 7,793E-1; -1,340E0; 9,891E-1; -6,452E0
89; 2,932E0; 8,818E-1; -1,193E0; 3,077E0; 4,412E0
90; 2,965E0; 9,965E-1; -7,087E-1; 3,442E0; 1,454E1
91; 2,999E0; 1,170E0; 6,716E-2; 5,201E0; 2,329E1
92; 3,032E0; 1,285E0; 1,136E0; 3,470E0; 3,208E1
93; 3,065E0; 1,412E0; 2,453E0; 3,810E0; 3,954E1
94; 3,099E0; 1,577E0; 3,983E0; 4,929E0; 4,591E1
95; 3,132E0; 1,765E0; 5,561E0; 5,661E0; 4,736E1
96; 3,165E0; 2,022E0; 7,161E0; 7,700E0; 4,801E1
97; 3,199E0; 2,183E0; 8,760E0; 4,848E0; 4,800E1
98; 3,232E0; 2,249E0; 1,003E1; 1,958E0; 3,821E1
99; 3,265E0; 2,282E0; 1,111E1; 9,980E-1; 3,225E1
100; 3,298E0; 2,419E0; 1,191E1; 4,113E0; 2,413E1
101; 3,332E0; 2,497E0; 1,235E1; 2,335E0; 1,330E1
102; 3,365E0; 2,530E0; 1,232E1; 1,012E0; -9,470E-1
103; 3,398E0; 2,552E0; 1,188E1; 6,567E-1; -1,336E1
104; 3,432E0; 2,514E0; 1,108E1; -1,154E0; -2,398E1
105; 3,465E0; 2,440E0; 9,932E0; -2,209E0; -3,443E1
106; 3,498E0; 2,390E0; 8,570E0; -1,496E0; -4,088E1
107; 3,532E0; 2,361E0; 7,103E0; -8,756E-1; -4,401E1
108; 3,565E0; 2,246E0; 5,493E0; -3,468E0; -4,835E1
109; 3,598E0; 2,010E0; 3,912E0; -7,079E0; -4,746E1
110; 3,632E0; 1,828E0; 2,477E0; -5,443E0; -4,305E1
111; 3,665E0; 1,828E0; 2,477E0; 0,000E0; 0,000E0
112; 3,698E0; 1,743E0; 1,163E0; -2,563E0; -3,944E1
113; 3,732E0; 1,624E0; 1,304E-1; -3,565E0; -3,099E1
114; 3,765E0; 1,452E0; -5,837E-1; -5,171E0; -2,143E1
115; 3,798E0; 1,297E0; -1,020E0; -4,661E0; -1,310E1
116; 3,832E0; 1,158E0; -1,118E0; -4,168E0; -2,945E0
117; 3,865E0; 1,039E0; -8,601E-1; -3,565E0; 7,749E0
118; 3,898E0; 9,720E-1; -2,531E-1; -2,011E0; 1,822E1
119; 3,932E0; 8,789E-1; 6,482E-1; -2,796E0; 2,705E1
120; 3,965E0; 7,384E-1; 1,781E0; -4,217E0; 3,399E1
121; 3,998E0; 6,936E-1; 3,149E0; -1,345E0; 4,108E1
122; 4,031E0; 7,905E-1; 4,720E0; 2,908E0; 4,713E1
123; 4,065E0; 8,402E-1; 6,313E0; 1,493E0; 4,783E1
124; 4,098E0; 8,241E-1; 7,860E0; -4,838E-1; 4,643E1
125; 4,131E0; 8,520E-1; 9,346E0; 8,373E-1; 4,460E1
126; 4,165E0; 9,088E-1; 1,061E1; 1,707E0; 3,783E1
127; 4,198E0; 9,799E-1; 1,164E1; 2,133E0; 3,089E1
128; 4,231E0; 1,058E0; 1,229E1; 2,341E0; 1,954E1
129; 4,265E0; 1,165E0; 1,253E1; 3,214E0; 7,177E0
130; 4,298E0; 1,284E0; 1,238E1; 3,563E0; -4,344E0
131; 4,331E0; 1,416E0; 1,183E1; 3,957E0; -1,642E1
132; 4,365E0; 1,536E0; 1,101E1; 3,600E0; -2,487E1
133; 4,398E0; 1,680E0; 9,887E0; 4,330E0; -3,357E1
134; 4,431E0; 1,831E0; 8,444E0; 4,548E0; -4,330E1
135; 4,465E0; 1,904E0; 6,931E0; 2,186E0; -4,542E1
136; 4,498E0; 1,947E0; 5,331E0; 1,284E0; -4,804E1
137; 4,531E0; 2,015E0; 3,784E0; 2,043E0; -4,643E1
138; 4,565E0; 2,097E0; 2,392E0; 2,458E0; -4,177E1
139; 4,598E0; 2,205E0; 1,145E0; 3,245E0; -3,742E1
140; 4,631E0; 2,252E0; 1,723E-1; 1,414E0; -2,920E1
141; 4,665E0; 2,240E0; -4,930E-1; -3,724E-1; -1,997E1
142; 4,698E0; 2,253E0; -8,389E-1; 3,905E-1; -1,038E1
143; 4,731E0; 2,287E0; -8,194E-1; 1,023E0; 5,837E-1
144; 4,764E0; 2,261E0; -4,510E-1; -7,664E-1; 1,106E1
145; 4,798E0; 2,171E0; 2,508E-1; -2,724E0; 2,106E1
146; 4,831E0; 2,082E0; 1,275E0; -2,667E0; 3,075E1
147; 4,864E0; 2,008E0; 2,510E0; -2,199E0; 3,707E1
148; 4,898E0; 1,954E0; 3,941E0; -1,619E0; 4,292E1
149; 4,931E0; 1,903E0; 5,526E0; -1,556E0; 4,758E1
150; 4,964E0; 1,771E0; 7,078E0; -3,939E0; 4,658E1
151; 4,998E0; 1,600E0; 8,576E0; -5,143E0; 4,499E1
152; 5,031E0; 1,493E0; 9,985E0; -3,209E0; 4,226E1
153; 5,064E0; 1,435E0; 1,113E1; -1,737E0; 3,444E1
154; 5,098E0; 1,313E0; 1,201E1; -3,670E0; 2,636E1
155; 5,131E0; 1,197E0; 1,252E1; -3,484E0; 1,528E1
156; 5,164E0; 1,089E0; 1,264E1; -3,231E0; 3,613E0
157; 5,198E0; 9,886E-1; 1,238E1; -3,018E0; -7,855E0
158; 5,231E0; 9,112E-1; 1,175E1; -2,322E0; -1,877E1
159; 5,264E0; 8,593E-1; 1,084E1; -1,559E0; -2,749E1
160; 5,298E0; 8,328E-1; 9,623E0; -7,949E-1; -3,645E1
161; 5,331E0; 7,917E-1; 8,152E0; -1,233E0; -4,413E1
162; 5,364E0; 7,112E-1; 6,639E0; -2,418E0; -4,541E1
163; 5,398E0; 7,100E-1; 5,048E0; -3,523E-2; -4,775E1
164; 5,431E0; 7,976E-1; 3,540E0; 2,630E0; -4,526E1
165; 5,464E0; 9,305E-1; 9,783E-1; 3,989E0; -7,690E1
166; 5,497E0; 1,026E0; 5,711E-2; 2,873E0; -2,765E1
167; 5,531E0; 1,157E0; -5,246E-1; 3,937E0; -1,746E1
168; 5,564E0; 1,323E0; -7,716E-1; 4,964E0; -7,415E0
169; 5,597E0; 1,482E0; -6,592E-1; 4,770E0; 3,374E0
170; 5,631E0; 1,609E0; -1,989E-1; 3,811E0; 1,382E1
171; 5,664E0; 1,720E0; 5,955E-1; 3,343E0; 2,384E1
172; 5,697E0; 1,889E0; 1,716E0; 5,082E0; 3,363E1
173; 5,731E0; 2,080E0; 3,039E0; 5,726E0; 3,972E1
174; 5,764E0; 2,212E0; 4,519E0; 3,950E0; 4,440E1
175; 5,797E0; 2,290E0; 6,095E0; 2,359E0; 4,731E1
176; 5,831E0; 2,377E0; 7,647E0; 2,584E0; 4,659E1
177; 5,864E0; 2,460E0; 9,135E0; 2,519E0; 4,465E1
178; 5,897E0; 2,528E0; 1,048E1; 2,037E0; 4,024E1
179; 5,931E0; 2,545E0; 1,155E1; 5,105E-1; 3,221E1
180; 5,964E0; 2,534E0; 1,231E1; -3,338E-1; 2,283E1
181; 5,997E0; 2,504E0; 1,270E1; -8,947E-1; 1,177E1
182; 6,031E0; 2,444E0; 1,271E1; -1,806E0; 2,608E-1
183; 6,064E0; 2,382E0; 1,237E1; -1,857E0; -1,028E1
184; 6,097E0; 2,298E0; 1,164E1; -2,539E0; -2,183E1
185; 6,131E0; 2,200E0; 1,063E1; -2,932E0; -3,048E1
186; 6,164E0; 2,063E0; 9,375E0; -4,101E0; -3,752E1
187; 6,197E0; 1,897E0; 7,897E0; -4,992E0; -4,436E1
188; 6,230E0; 1,740E0; 6,370E0; -4,702E0; -4,584E1
189; 6,264E0; 1,610E0; 4,819E0; -3,925E0; -4,654E1
190; 6,297E0; 1,490E0; 3,331E0; -3,588E0; -4,467E1
191; 6,330E0; 1,333E0; 2,024E0; -4,716E0; -3,922E1
192; 6,364E0; 1,166E0; 8,986E-1; -5,017E0; -3,378E1
193; 6,397E0; 1,060E0; 4,117E-2; -3,186E0; -2,573E1
194; 6,430E0; 9,989E-1; -4,355E-1; -1,826E0; -1,431E1
195; 6,464E0; 9,200E-1; -5,837E-1; -2,368E0; -4,448E0
196; 6,497E0; 8,407E-1; -3,788E-1; -2,378E0; 6,147E0
197; 6,530E0; 7,945E-1; 1,677E-1; -1,387E0; 1,641E1
198; 6,564E0; 7,937E-1; 1,054E0; -2,393E-2; 2,661E1
199; 6,597E0; 8,345E-1; 2,235E0; 1,225E0; 3,543E1
200; 6,630E0; 9,046E-1; 3,594E0; 2,103E0; 4,079E1
201; 6,664E0; 9,455E-1; 5,092E0; 1,228E0; 4,498E1
202; 6,697E0; 1,017E0; 6,672E0; 2,136E0; 4,743E1
203; 6,730E0; 1,150E0; 8,198E0; 4,007E0; 4,578E1
204; 6,764E0; 1,276E0; 9,632E0; 3,785E0; 4,303E1
205; 6,797E0; 1,382E0; 1,093E1; 3,183E0; 3,898E1
206; 6,830E0; 1,493E0; 1,189E1; 3,308E0; 2,893E1
207; 6,864E0; 1,610E0; 1,255E1; 3,520E0; 1,965E1
208; 6,897E0; 1,736E0; 1,283E1; 3,779E0; 8,519E0
209; 6,930E0; 1,859E0; 1,275E1; 3,694E0; -2,567E0
210; 6,963E0; 1,982E0; 1,231E1; 3,704E0; -1,323E1
211; 6,997E0; 2,107E0; 1,148E1; 3,731E0; -2,472E1
212; 7,030E0; 2,201E0; 1,036E1; 2,823E0; -3,378E1
213; 7,063E0; 2,245E0; 9,033E0; 1,339E0; -3,975E1
214; 7,097E0; 2,306E0; 7,538E0; 1,811E0; -4,488E1
215; 7,130E0; 2,365E0; 6,011E0; 1,792E0; -4,581E1
216; 7,163E0; 2,374E0; 4,462E0; 2,676E-1; -4,649E1
217; 7,197E0; 2,342E0; 2,991E0; -9,693E-1; -4,417E1
218; 7,230E0; 2,309E0; 1,762E0; -9,999E-1; -3,688E1
219; 7,263E0; 2,274E0; 7,314E-1; -1,033E0; -3,093E1
220; 7,297E0; 2,234E0; 6,681E-4; -1,195E0; -2,193E1
221; 7,330E0; 2,234E0; 6,681E-4; 0,000E0; 0,000E0
222; 7,363E0; 2,163E0; -3,763E-1; -2,152E0; -1,131E1
223; 7,397E0; 2,065E0; -4,119E-1; -2,929E0; -1,069E0
224; 7,430E0; 1,933E0; -9,335E-2; -3,967E0; 9,561E0
225; 7,463E0; 1,828E0; 5,882E-1; -3,154E0; 2,046E1
226; 7,497E0; 1,725E0; 1,549E0; -3,075E0; 2,884E1
227; 7,530E0; 1,587E0; 2,792E0; -4,165E0; 3,729E1
228; 7,563E0; 1,458E0; 4,183E0; -3,859E0; 4,175E1
229; 7,597E0; 1,345E0; 5,698E0; -3,403E0; 4,547E1
230; 7,630E0; 1,260E0; 7,279E0; -2,537E0; 4,747E1
231; 7,663E0; 1,202E0; 8,758E0; -1,743E0; 4,438E1
232; 7,696E0; 1,121E0; 1,012E1; -2,442E0; 4,075E1
233; 7,730E0; 1,025E0; 1,129E1; -2,879E0; 3,515E1
234; 7,763E0; 9,509E-1; 1,213E1; -2,219E0; 2,533E1
235; 7,796E0; 8,969E-1; 1,267E1; -1,621E0; 1,604E1
236; 7,830E0; 8,629E-1; 1,284E1; -1,022E0; 5,141E0
237; 7,863E0; 8,567E-1; 1,265E1; -1,838E-1; -5,666E0
238; 7,896E0; 8,688E-1; 1,207E1; 3,613E-1; -1,731E1
239; 7,930E0; 8,920E-1; 1,115E1; 6,976E-1; -2,777E1
240; 7,963E0; 9,295E-1; 9,988E0; 1,124E0; -3,476E1
241; 7,996E0; 9,890E-1; 8,626E0; 1,785E0; -4,089E1
242; 8,030E0; 1,074E0; 7,102E0; 2,559E0; -4,572E1
243; 8,063E0; 1,159E0; 5,570E0; 2,530E0; -4,599E1
244; 8,096E0; 1,227E0; 4,041E0; 2,053E0; -4,588E1
245; 8,130E0; 1,320E0; 2,617E0; 2,794E0; -4,274E1
246; 8,163E0; 1,456E0; 1,448E0; 4,084E0; -3,510E1
247; 8,196E0; 1,609E0; 5,089E-1; 4,589E0; -2,818E1
248; 8,230E0; 1,751E0; -1,276E-1; 4,265E0; -1,910E1
249; 8,263E0; 1,880E0; -4,092E-1; 3,854E0; -8,452E0
250; 8,296E0; 1,999E0; -3,432E-1; 3,577E0; 1,982E0
251; 8,330E0; 2,107E0; 8,780E-2; 3,251E0; 1,293E1
252; 8,363E0; 2,219E0; 8,465E-1; 3,354E0; 2,277E1
253; 8,396E0; 2,299E0; 1,883E0; 2,418E0; 3,112E1
254; 8,429E0; 2,343E0; 3,183E0; 1,323E0; 3,902E1
