Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
194; 6,430E0; ; ; ;
195; 6,464E0; ; ; ;
196; 6,497E0; ; ; ;
197; 6,530E0; ; ; ;
198; 6,564E0; ; ; ;
199; 6,597E0; ; ; ;
200; 6,630E0; ; ; ;
201; 6,664E0; ; ; ;
202; 6,697E0; ; ; ;
203; 6,730E0; ; ; ;
204; 6,764E0; ; ; ;
205; 6,797E0; ; ; ;
206; 6,830E0; ; ; ;
207; 6,864E0; ; ; ;
208; 6,897E0; ; ; ;
209; 6,930E0; ; ; ;
210; 6,963E0; ; ; ;
211; 6,997E0; ; ; ;
212; 7,030E0; ; ; ;
213; 7,063E0; ; ; ;
214; 7,097E0; ; ; ;
215; 7,130E0; ; ; ;
216; 7,163E0; ; ; ;
217; 7,197E0; ; ; ;
218; 7,230E0; ; ; ;
219; 7,263E0; ; ; ;
220; 7,297E0; ; ; ;
221; 7,330E0; ; ; ;
222; 7,363E0; ; ; ;
223; 7,397E0; ; ; ;
224; 7,430E0; ; ; ;
225; 7,463E0; ; ; ;
226; 7,497E0; ; ; ;
227; 7,530E0; ; ; ;
228; 7,563E0; ; ; ;
229; 7,596E0; ; ; ;
230; 7,630E0; ; ; ;
231; 7,663E0; ; ; ;
232; 7,696E0; ; ; ;
233; 7,730E0; ; ; ;
234; 7,763E0; ; ; ;
235; 7,796E0; ; ; ;
236; 7,830E0; ; ; ;
237; 7,863E0; ; ; ;
238; 7,896E0; ; ; ;
239; 7,930E0; ; ; ;
240; 7,963E0; ; ; ;
241; 7,996E0; ; ; ;
242; 8,030E0; ; ; ;
243; 8,063E0; ; ; ;
244; 8,096E0; ; ; ;
245; 8,130E0; ; ; ;
246; 8,163E0; ; ; ;
247; 8,196E0; ; ; ;
248; 8,230E0; ; ; ;
249; 8,263E0; ; ; ;
250; 8,296E0; ; ; ;
251; 8,329E0; ; ; ;
252; 8,363E0; ; ; ;
253; 8,396E0; ; ; ;
254; 8,429E0; ; ; ;
255; 8,463E0; ; ; ;
256; 8,496E0; ; ; ;
257; 8,529E0; ; ; ;
258; 8,563E0; ; ; ;
259; 8,596E0; ; ; ;
260; 8,629E0; ; ; ;
261; 8,663E0; ; ; ;
262; 8,696E0; ; ; ;
263; 8,729E0; ; ; ;
264; 8,763E0; ; ; ;
265; 8,796E0; ; ; ;
266; 8,829E0; ; ; ;
267; 8,863E0; ; ; ;
268; 8,896E0; ; ; ;
269; 8,929E0; ; ; ;
270; 8,963E0; ; ; ;
271; 8,996E0; ; ; ;
272; 9,029E0; ; ; ;
273; 9,062E0; ; ; ;
274; 9,096E0; ; ; ;
275; 9,129E0; ; ; ;
276; 9,162E0; ; ; ;
277; 9,196E0; ; ; ;
278; 9,229E0; ; ; ;
279; 9,262E0; ; ; ;
280; 9,296E0; ; ; ;
281; 9,329E0; ; ; ;
282; 9,362E0; ; ; ;
283; 9,396E0; ; ; ;
284; 9,429E0; ; ; ;
285; 9,462E0; ; ; ;
286; 9,496E0; ; ; ;
287; 9,529E0; ; ; ;
288; 9,562E0; ; ; ;
289; 9,596E0; ; ; ;
290; 9,629E0; ; ; ;
291; 9,662E0; ; ; ;
292; 9,696E0; ; ; ;
293; 9,729E0; ; ; ;
294; 9,762E0; ; ; ;
295; 9,795E0; ; ; ;
296; 9,829E0; ; ; ;
297; 9,862E0; ; ; ;
298; 9,895E0; ; ; ;
299; 9,929E0; ; ; ;
300; 9,962E0; ; ; ;
301; 9,995E0; ; ; ;
302; 1,003E1; ; ; ;
303; 1,006E1; ; ; ;
304; 1,010E1; ; ; ;
305; 1,013E1; ; ; ;
306; 1,016E1; ; ; ;
307; 1,020E1; ; ; ;
308; 1,023E1; ; ; ;
