Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit; Objekt 2 x-Koordinate; Objekt 2 y-Koordinate; Objekt 2 x-Geschwindigkeit; Objekt 2 y-Geschwindigkeit; Objekt 3 x-Koordinate; Objekt 3 y-Koordinate; Objekt 3 x-Geschwindigkeit; Objekt 3 y-Geschwindigkeit; Objekt 4 x-Koordinate; Objekt 4 y-Koordinate; Objekt 4 x-Geschwindigkeit; Objekt 4 y-Geschwindigkeit
1; 0,000E0; 8,342E-3; -4,553E-1; ;; ; ; ;; ; ; ;; ; ; ;
2; 1,667E-2; -3,446E-3; -4,351E-1; -7,071E-1; 1,210E0; ; ; ;; ; ; ;; ; ; ;
3; 3,334E-2; -1,129E-2; -4,184E-1; -4,705E-1; 1,002E0; ; ; ;; ; ; ;; ; ; ;
4; 5,001E-2; -2,440E-2; -3,994E-1; -7,865E-1; 1,141E0; ; ; ;; ; ; ;; ; ; ;
5; 6,669E-2; -3,863E-2; -3,786E-1; -8,532E-1; 1,247E0; ; ; ;; ; ; ;; ; ; ;
6; 8,336E-2; -5,589E-2; -3,674E-1; -1,035E0; 6,728E-1; ; ; ;; ; ; ;; ; ; ;
7; 1,000E-1; -7,506E-2; -3,530E-1; -1,150E0; 8,622E-1; ; ; ;; ; ; ;; ; ; ;
8; 1,167E-1; -9,267E-2; -3,445E-1; -1,056E0; 5,132E-1; ; ; ;; ; ; ;; ; ; ;
9; 1,334E-1; -1,109E-1; -3,316E-1; -1,093E0; 7,744E-1; ; ; ;; ; ; ;; ; ; ;
10; 1,500E-1; -1,356E-1; -3,133E-1; -1,482E0; 1,095E0; ; ; ;; ; ; ;; ; ; ;
11; 1,667E-1; -1,617E-1; -2,958E-1; -1,563E0; 1,049E0; ; ; ;; ; ; ;; ; ; ;
12; 1,834E-1; -1,845E-1; -2,858E-1; -1,369E0; 6,025E-1; ; ; ;; ; ; ;; ; ; ;
13; 2,001E-1; -2,065E-1; -2,757E-1; -1,322E0; 6,083E-1; ; ; ;; ; ; ;; ; ; ;
14; 2,167E-1; -2,293E-1; -2,725E-1; -1,369E0; 1,872E-1; ; ; ;; ; ; ;; ; ; ;
15; 2,334E-1; -2,546E-1; -2,694E-1; -1,512E0; 1,911E-1; ; ; ;; ; ; ;; ; ; ;
16; 2,501E-1; -2,816E-1; -2,632E-1; -1,622E0; 3,679E-1; ; ; ;; ; ; ;; ; ; ;
17; 2,667E-1; -3,083E-1; -2,558E-1; -1,599E0; 4,435E-1; ; ; ;; ; ; ;; ; ; ;
18; 2,834E-1; -3,287E-1; -2,564E-1; -1,225E0; -3,645E-2; ; ; ;; ; ; ;; ; ; ;
19; 3,001E-1; -3,544E-1; -2,517E-1; -1,543E0; 2,847E-1; ; ; ;; ; ; ;; ; ; ;
20; 3,168E-1; -3,773E-1; -2,587E-1; -1,376E0; -4,231E-1; ; ; ;; ; ; ;; ; ; ;
21; 3,334E-1; -4,008E-1; -2,679E-1; -1,407E0; -5,521E-1; ; ; ;; ; ; ;; ; ; ;
22; 3,501E-1; -4,260E-1; -2,716E-1; -1,515E0; -2,208E-1; ; ; ;; ; ; ;; ; ; ;
23; 3,668E-1; -4,438E-1; -2,823E-1; -1,067E0; -6,378E-1; ; ; ;; ; ; ;; ; ; ;
24; 3,834E-1; -4,561E-1; -2,881E-1; -7,343E-1; -3,497E-1; ; ; ;; ; ; ;; ; ; ;
25; 4,001E-1; -4,802E-1; -3,010E-1; -1,449E0; -7,770E-1; ; ; ;; ; ; ;; ; ; ;
26; 4,168E-1; -4,984E-1; -3,062E-1; -1,093E0; -3,107E-1; ; ; ;; ; ; ;; ; ; ;
27; 4,335E-1; -5,100E-1; -3,142E-1; -6,940E-1; -4,777E-1; ; ; ;; ; ; ;; ; ; ;
28; 4,501E-1; -5,187E-1; -3,308E-1; -5,181E-1; -9,989E-1; ; ; ;; ; ; ;; ; ; ;
29; 4,668E-1; -5,335E-1; -3,453E-1; -8,908E-1; -8,666E-1; ; ; ;; ; ; ;; ; ; ;
30; 4,835E-1; -5,475E-1; -3,532E-1; -8,375E-1; -4,739E-1; ; ; ;; ; ; ;; ; ; ;
31; 5,001E-1; -5,600E-1; -3,558E-1; -7,538E-1; -1,564E-1; ; ; ;; ; ; ;; ; ; ;
32; 5,168E-1; -5,627E-1; -3,537E-1; -1,629E-1; 1,274E-1; ; ; ;; ; ; ;; ; ; ;
33; 5,335E-1; -5,639E-1; -3,526E-1; -6,867E-2; 6,242E-2; ; ; ;; ; ; ;; ; ; ;
34; 5,502E-1; -5,635E-1; -3,529E-1; 2,221E-2; -1,782E-2; ; ; ;; ; ; ;; ; ; ;
35; 5,668E-1; -5,700E-1; -3,719E-1; -3,859E-1; -1,140E0; ; ; ;; ; ; ;; ; ; ;
36; 5,835E-1; -5,723E-1; -3,859E-1; -1,380E-1; -8,389E-1; ; ; ;; ; ; ;; ; ; ;
37; 6,002E-1; -5,701E-1; -3,961E-1; 1,317E-1; -6,087E-1; ; ; ;; ; ; ;; ; ; ;
38; 6,168E-1; -5,651E-1; -3,969E-1; 2,974E-1; -5,165E-2; ; ; ;; ; ; ;; ; ; ;
39; 6,335E-1; -5,532E-1; -3,944E-1; 7,142E-1; 1,495E-1; ; ; ;; ; ; ;; ; ; ;
40; 6,502E-1; -5,417E-1; -3,870E-1; 6,884E-1; 4,447E-1; ; ; ;; ; ; ;; ; ; ;
41; 6,669E-1; -5,296E-1; -3,766E-1; 7,280E-1; 6,223E-1; ; ; ;; ; ; ;; ; ; ;
42; 6,835E-1; -5,152E-1; -3,713E-1; 8,598E-1; 3,229E-1; ; ; ;; ; ; ;; ; ; ;
43; 7,002E-1; -5,050E-1; -3,725E-1; 6,123E-1; -7,432E-2; ; ; ;; ; ; ;; ; ; ;
44; 7,169E-1; -4,922E-1; -3,703E-1; 7,698E-1; 1,334E-1; ; ; ;; ; ; ;; ; ; ;
45; 7,335E-1; -4,757E-1; -3,618E-1; 9,877E-1; 5,064E-1; ; ; ;; ; ; ;; ; ; ;
46; 7,502E-1; -4,586E-1; -3,573E-1; 1,027E0; 2,751E-1; ; ; ;; ; ; ;; ; ; ;
47; 7,669E-1; -4,359E-1; -3,366E-1; 1,364E0; 1,241E0; ; ; ;; ; ; ;; ; ; ;
48; 7,836E-1; -4,204E-1; -3,149E-1; 9,260E-1; 1,297E0; ; ; ;; ; ; ;; ; ; ;
49; 8,002E-1; -4,059E-1; -2,938E-1; 8,719E-1; 1,271E0; ; ; ;; ; ; ;; ; ; ;
50; 8,169E-1; -3,895E-1; -2,584E-1; 9,819E-1; 2,120E0; ; ; ;; ; ; ;; ; ; ;
51; 8,336E-1; -3,635E-1; -2,227E-1; 1,564E0; 2,144E0; ; ; ;; ; ; ;; ; ; ;
52; 8,502E-1; -3,364E-1; -1,954E-1; 1,626E0; 1,638E0; ; ; ;; ; ; ;; ; ; ;
53; 8,669E-1; -3,141E-1; -1,745E-1; 1,336E0; 1,254E0; ; ; ;; ; ; ;; ; ; ;
54; 8,836E-1; -2,992E-1; -1,558E-1; 8,936E-1; 1,122E0; ; ; ;; ; ; ;; ; ; ;
55; 9,002E-1; -2,728E-1; -1,507E-1; 1,583E0; 3,037E-1; ; ; ;; ; ; ;; ; ; ;
56; 9,169E-1; -2,456E-1; -1,330E-1; 1,632E0; 1,061E0; ; ; ;; ; ; ;; ; ; ;
57; 9,336E-1; -2,206E-1; -1,195E-1; 1,500E0; 8,095E-1; ; ; ;; ; ; ;; ; ; ;
58; 9,503E-1; -2,034E-1; -1,015E-1; 1,031E0; 1,079E0; ; ; ;; ; ; ;; ; ; ;
59; 9,669E-1; -1,662E-1; -9,809E-2; 2,231E0; 2,063E-1; ; ; ;; ; ; ;; ; ; ;
60; 9,836E-1; -1,469E-1; -4,287E-2; 1,157E0; 3,312E0; ; ; ;; ; ; ;; ; ; ;
61; 1,000E0; -1,499E-1; 1,144E-2; -1,812E-1; 3,258E0; ; ; ;; ; ; ;; ; ; ;
62; 1,017E0; -1,225E-1; 3,786E-2; 1,642E0; 1,585E0; ; ; ;; 3,124E-2; 2,204E-2; 0,000E0; 0,000E0; ; ; ;
63; 1,034E0; -9,099E-2; 7,863E-2; 1,893E0; 2,446E0; ; ; ;; 6,339E-2; 6,164E-2; 1,928E0; 2,376E0; ; ; ;
64; 1,050E0; -6,454E-2; 7,089E-2; 1,587E0; -4,644E-1; ; ; ;; 9,482E-2; 5,451E-2; 1,885E0; -4,279E-1; ; ; ;
65; 1,067E0; -7,819E-2; 6,791E-2; -8,190E-1; -1,787E-1; ; ; ;; 7,355E-2; 5,357E-2; -1,276E0; -5,660E-2; ; ; ;
66; 1,084E0; -7,980E-2; 6,545E-2; -9,677E-2; -1,478E-1; ; ; ;; 7,084E-2; 5,112E-2; -1,626E-1; -1,466E-1; ; ; ;
67; 1,100E0; -5,522E-2; 6,644E-2; 1,474E0; 5,930E-2; ; ; ;; 1,002E-1; 5,271E-2; 1,760E0; 9,556E-2; ; ; ;
68; 1,117E0; -2,520E-2; 6,744E-2; 1,801E0; 6,021E-2; ; ; ;; 1,340E-1; 5,176E-2; 2,029E0; -5,722E-2; ; ; ;
69; 1,134E0; -1,728E-2; 7,051E-2; 4,751E-1; 1,842E-1; ; ; ;; 1,401E-1; 5,437E-2; 3,667E-1; 1,564E-1; ; ; ;
70; 1,150E0; -3,139E-2; 6,912E-2; -8,463E-1; -8,332E-2; ; ; ;; 1,253E-1; 5,212E-2; -8,880E-1; -1,349E-1; ; ; ;
71; 1,167E0; -3,004E-2; 5,493E-2; 8,112E-2; -8,517E-1; ; ; ;; 1,275E-1; 3,971E-2; 1,334E-1; -7,443E-1; ; ; ;
72; 1,184E0; -1,424E-2; 4,785E-2; 9,478E-1; -4,242E-1; ; ; ;; 1,447E-1; 3,252E-2; 1,031E0; -4,313E-1; ; ; ;
73; 1,200E0; 5,918E-4; 3,258E-2; 8,895E-1; -9,164E-1; ; ; ;; 1,605E-1; 1,671E-2; 9,446E-1; -9,484E-1; ; ; ;
74; 1,217E0; -4,951E-3; 2,593E-2; -3,325E-1; -3,987E-1; ; ; ;; 1,542E-1; 8,502E-3; -3,778E-1; -4,923E-1; ; ; ;
75; 1,234E0; -2,489E-2; 1,616E-2; -1,196E0; -5,862E-1; ; ; ;; 1,333E-1; 3,590E-4; -1,254E0; -4,885E-1; ; ; ;
76; 1,250E0; -2,806E-2; -9,801E-5; -1,904E-1; -9,750E-1; ; ; ;; 1,310E-1; -1,807E-2; -1,391E-1; -1,106E0; ; ; ;
77; 1,267E0; -2,570E-2; -1,169E-2; 1,416E-1; -6,955E-1; ; ; ;; 1,376E-1; -3,190E-2; 3,994E-1; -8,291E-1; ; ; ;
78; 1,284E0; -2,649E-2; -2,095E-2; -4,722E-2; -5,553E-1; ; ; ;; 1,368E-1; -4,416E-2; -4,765E-2; -7,354E-1; ; ; ;
79; 1,300E0; -4,488E-2; -4,686E-2; -1,103E0; -1,554E0; ; ; ;; 1,164E-1; -6,653E-2; -1,226E0; -1,342E0; ; ; ;
80; 1,317E0; -6,672E-2; -7,107E-2; -1,310E0; -1,452E0; ; ; ;; 9,254E-2; -8,720E-2; -1,430E0; -1,240E0; ; ; ;
81; 1,334E0; -7,262E-2; -8,987E-2; -3,541E-1; -1,128E0; ; ; ;; 8,606E-2; -1,048E-1; -3,887E-1; -1,058E0; ; ; ;
82; 1,350E0; -8,007E-2; -1,036E-1; -4,470E-1; -8,215E-1; ; ; ;; 8,088E-2; -1,176E-1; -3,106E-1; -7,640E-1; ; ; ;
83; 1,367E0; -9,637E-2; -1,140E-1; -9,777E-1; -6,277E-1; ; ; ;; 6,509E-2; -1,299E-1; -9,471E-1; -7,408E-1; ; ; ;
84; 1,384E0; -1,241E-1; -1,227E-1; -1,664E0; -5,218E-1; ; ; ;; 3,634E-2; -1,380E-1; -1,724E0; -4,863E-1; ; ; ;
85; 1,400E0; -1,445E-1; -1,385E-1; -1,222E0; -9,451E-1; ; ; ;; 1,800E-2; -1,573E-1; -1,100E0; -1,153E0; ; ; ;
86; 1,417E0; -1,585E-1; -1,473E-1; -8,418E-1; -5,290E-1; ; ; ;; 4,816E-3; -1,672E-1; -7,908E-1; -5,948E-1; ; ; ;
87; 1,434E0; -1,773E-1; -1,644E-1; -1,128E0; -1,027E0; ; ; ;; -1,516E-2; -1,849E-1; -1,198E0; -1,061E0; ; ; ;
88; 1,450E0; -2,036E-1; -1,761E-1; -1,575E0; -7,003E-1; ; ; ;; -4,051E-2; -1,993E-1; -1,521E0; -8,654E-1; ; ; ;
89; 1,467E0; -2,321E-1; -1,861E-1; -1,711E0; -5,986E-1; ; ; ;; -7,202E-2; -2,088E-1; -1,890E0; -5,702E-1; ; ; ;
90; 1,484E0; -2,556E-1; -1,960E-1; -1,413E0; -5,936E-1; ; ; ;; -9,634E-2; -2,165E-1; -1,458E0; -4,635E-1; ; ; ;
91; 1,500E0; -2,740E-1; -1,951E-1; -1,103E0; 5,283E-2; ; ; ;; -1,117E-1; -2,182E-1; -9,246E-1; -1,000E-1; ; ; ;
92; 1,517E0; -2,986E-1; -1,941E-1; -1,476E0; 6,000E-2; ; ; ;; -1,311E-1; -2,185E-1; -1,163E0; -1,996E-2; ; ; ;
93; 1,534E0; -3,260E-1; -1,939E-1; -1,644E0; 1,053E-2; ; ; ;; -1,658E-1; -2,167E-1; -2,077E0; 1,113E-1; ; ; ;
94; 1,550E0; -3,523E-1; -1,931E-1; -1,574E0; 5,091E-2; ; ; ;; -1,964E-1; -2,155E-1; -1,839E0; 6,796E-2; ; ; ;
95; 1,567E0; -3,740E-1; -1,905E-1; -1,304E0; 1,565E-1; ; ; ;; -2,186E-1; -2,149E-1; -1,328E0; 3,700E-2; ; ; ;
96; 1,584E0; -3,920E-1; -1,908E-1; -1,081E0; -1,912E-2; ; ; ;; -2,325E-1; -2,145E-1; -8,336E-1; 2,169E-2; ; ; ;
97; 1,600E0; -4,168E-1; -1,836E-1; -1,488E0; 4,322E-1; ; ; ;; -2,546E-1; -2,097E-1; -1,330E0; 2,879E-1; ; ; ;
98; 1,617E0; -4,446E-1; -1,681E-1; -1,668E0; 9,275E-1; ; ; ;; -2,818E-1; -1,900E-1; -1,628E0; 1,184E0; ; ; ;
99; 1,634E0; -4,684E-1; -1,583E-1; -1,427E0; 5,875E-1; ; ; ;; -3,092E-1; -1,794E-1; -1,643E0; 6,359E-1; ; ; ;
100; 1,650E0; -4,779E-1; -1,447E-1; -5,702E-1; 8,177E-1; ; ; ;; -3,222E-1; -1,624E-1; -7,804E-1; 1,017E0; ; ; ;
101; 1,667E0; -4,980E-1; -1,303E-1; -1,206E0; 8,652E-1; ; ; ;; -3,414E-1; -1,467E-1; -1,155E0; 9,465E-1; ; ; ;
102; 1,684E0; -5,180E-1; -1,158E-1; -1,198E0; 8,661E-1; ; ; ;; -3,632E-1; -1,319E-1; -1,308E0; 8,846E-1; ; ; ;
103; 1,700E0; -5,423E-1; -1,052E-1; -1,458E0; 6,355E-1; ; ; ;; -3,846E-1; -1,238E-1; -1,280E0; 4,871E-1; ; ; ;
104; 1,717E0; -5,560E-1; -8,797E-2; -8,218E-1; 1,035E0; ; ; ;; -3,955E-1; -1,083E-1; -6,532E-1; 9,311E-1; ; ; ;
105; 1,734E0; -5,658E-1; -6,709E-2; -5,863E-1; 1,253E0; ; ; ;; -4,036E-1; -9,197E-2; -4,878E-1; 9,782E-1; ; ; ;
106; 1,750E0; -5,782E-1; -3,949E-2; -7,472E-1; 1,655E0; ; ; ;; -4,097E-1; -6,470E-2; -3,645E-1; 1,636E0; ; ; ;
107; 1,767E0; -5,920E-1; -2,155E-2; -8,272E-1; 1,076E0; ; ; ;; -4,261E-1; -4,306E-2; -9,829E-1; 1,298E0; ; ; ;
108; 1,784E0; -6,045E-1; -5,984E-3; -7,493E-1; 9,335E-1; ; ; ;; -4,403E-1; -2,603E-2; -8,527E-1; 1,022E0; ; ; ;
109; 1,800E0; -6,120E-1; 2,036E-3; -4,457E-1; 4,811E-1; ; ; ;; -4,426E-1; -1,571E-2; -1,389E-1; 6,188E-1; ; ; ;
110; 1,817E0; -6,131E-1; 1,101E-2; -6,634E-2; 5,380E-1; ; ; ;; -4,437E-1; -9,072E-3; -6,815E-2; 3,984E-1; ; ; ;
111; 1,834E0; -6,156E-1; 2,700E-2; -1,542E-1; 9,592E-1; ; ; ;; -4,424E-1; 7,524E-3; 8,186E-2; 9,955E-1; ; ; ;
112; 1,851E0; -6,211E-1; 4,176E-2; -3,264E-1; 8,855E-1; ; ; ;; -4,468E-1; 1,891E-2; -2,640E-1; 6,829E-1; ; ; ;
113; 1,867E0; -6,171E-1; 5,781E-2; 2,412E-1; 9,629E-1; ; ; ;; -4,375E-1; 3,049E-2; 5,580E-1; 6,946E-1; ; ; ;
114; 1,884E0; -6,118E-1; 6,691E-2; 3,147E-1; 5,457E-1; ; ; ;; -4,274E-1; 3,897E-2; 6,010E-1; 5,085E-1; ; ; ;
115; 1,901E0; -6,037E-1; 7,758E-2; 4,837E-1; 6,398E-1; ; ; ;; -4,156E-1; 4,923E-2; 7,127E-1; 6,158E-1; ; ; ;
116; 1,917E0; -5,988E-1; 8,612E-2; 2,943E-1; 5,128E-1; ; ; ;; -4,109E-1; 5,940E-2; 2,777E-1; 6,100E-1; ; ; ;
117; 1,934E0; -5,947E-1; 8,660E-2; 2,479E-1; 2,877E-2; ; ; ;; -4,042E-1; 5,919E-2; 4,032E-1; -1,291E-2; ; ; ;
118; 1,951E0; -5,750E-1; 8,543E-2; 1,183E0; -7,051E-2; ; ; ;; -3,850E-1; 6,052E-2; 1,155E0; 8,019E-2; ; ; ;
119; 1,967E0; -5,612E-1; 8,793E-2; 8,269E-1; 1,502E-1; ; ; ;; -3,699E-1; 6,502E-2; 9,017E-1; 2,694E-1; ; ; ;
120; 1,984E0; -5,488E-1; 8,668E-2; 7,461E-1; -7,522E-2; ; ; ;; -3,537E-1; 6,155E-2; 9,740E-1; -2,080E-1; ; ; ;
121; 2,001E0; -5,323E-1; 7,804E-2; 9,896E-1; -5,184E-1; ; ; ;; -3,343E-1; 5,316E-2; 1,162E0; -5,029E-1; ; ; ;
122; 2,017E0; -5,104E-1; 7,061E-2; 1,308E0; -4,451E-1; ; ; ;; -3,107E-1; 4,506E-2; 1,416E0; -4,861E-1; ; ; ;
123; 2,034E0; -4,903E-1; 6,327E-2; 1,211E0; -4,406E-1; ; ; ;; -2,840E-1; 3,729E-2; 1,606E0; -4,661E-1; ; ; ;
124; 2,051E0; -4,683E-1; 5,480E-2; 1,316E0; -5,082E-1; ; ; ;; -2,641E-1; 3,128E-2; 1,192E0; -3,606E-1; ; ; ;
125; 2,067E0; -4,484E-1; 3,901E-2; 1,195E0; -9,470E-1; ; ; ;; -2,452E-1; 1,986E-2; 1,134E0; -6,849E-1; ; ; ;
126; 2,084E0; -4,267E-1; 2,329E-2; 1,302E0; -9,431E-1; ; ; ;; -2,274E-1; 5,791E-3; 1,068E0; -8,439E-1; ; ; ;
127; 2,101E0; -4,050E-1; 1,365E-2; 1,302E0; -5,780E-1; ; ; ;; -2,034E-1; -4,847E-3; 1,439E0; -6,381E-1; ; ; ;
128; 2,117E0; -3,808E-1; 7,421E-3; 1,454E0; -3,738E-1; ; ; ;; -1,743E-1; -1,099E-2; 1,746E0; -3,686E-1; ; ; ;
129; 2,134E0; -3,523E-1; -9,328E-3; 1,705E0; -1,005E0; ; ; ;; -1,442E-1; -2,884E-2; 1,805E0; -1,071E0; ; ; ;
130; 2,151E0; -3,297E-1; -2,645E-2; 1,356E0; -1,027E0; ; ; ;; -1,199E-1; -4,776E-2; 1,458E0; -1,135E0; ; ; ;
131; 2,167E0; -3,049E-1; -4,634E-2; 1,492E0; -1,194E0; ; ; ;; -1,012E-1; -6,865E-2; 1,122E0; -1,253E0; ; ; ;
132; 2,184E0; -2,809E-1; -7,270E-2; 1,436E0; -1,581E0; ; ; ;; -7,885E-2; -9,360E-2; 1,340E0; -1,497E0; ; ; ;
133; 2,201E0; -2,557E-1; -9,376E-2; 1,510E0; -1,263E0; ; ; ;; -5,050E-2; -1,130E-1; 1,701E0; -1,166E0; ; ; ;
134; 2,217E0; -2,362E-1; -1,084E-1; 1,171E0; -8,761E-1; ; ; ;; -2,767E-2; -1,278E-1; 1,369E0; -8,843E-1; ; ; ;
135; 2,234E0; -2,083E-1; -1,230E-1; 1,677E0; -8,799E-1; ; ; ;; 3,644E-4; -1,439E-1; 1,682E0; -9,647E-1; ; ; ;
136; 2,251E0; -1,896E-1; -1,348E-1; 1,116E0; -7,030E-1; ; ; ;; 2,191E-2; -1,557E-1; 1,293E0; -7,087E-1; ; ; ;
137; 2,267E0; -1,663E-1; -1,495E-1; 1,401E0; -8,849E-1; ; ; ;; 4,430E-2; -1,716E-1; 1,343E0; -9,525E-1; ; ; ;
138; 2,284E0; -1,430E-1; -1,712E-1; 1,398E0; -1,299E0; ; ; ;; 5,980E-2; -1,956E-1; 9,296E-1; -1,440E0; ; ; ;
139; 2,301E0; -1,235E-1; -1,883E-1; 1,167E0; -1,026E0; ; ; ;; 8,023E-2; -2,124E-1; 1,225E0; -1,010E0; ; ; ;
140; 2,317E0; -1,063E-1; -2,041E-1; 1,030E0; -9,479E-1; ; ; ;; 9,618E-2; -2,253E-1; 9,569E-1; -7,739E-1; ; ; ;
141; 2,334E0; -9,843E-2; -2,169E-1; 4,751E-1; -7,724E-1; ; ; ;; 1,115E-1; -2,387E-1; 9,179E-1; -7,999E-1; ; ; ;
142; 2,351E0; -8,702E-2; -2,173E-1; 6,841E-1; -1,971E-2; ; ; ;; 1,303E-1; -2,394E-1; 1,132E0; -4,335E-2; ; ; ;
143; 2,367E0; -7,078E-2; -2,291E-1; 9,743E-1; -7,064E-1; ; ; ;; 1,446E-1; -2,501E-1; 8,561E-1; -6,414E-1; ; ; ;
144; 2,384E0; -5,980E-2; -2,321E-1; 6,583E-1; -1,837E-1; ; ; ;; 1,545E-1; -2,512E-1; 5,955E-1; -7,053E-2; ; ; ;
145; 2,401E0; -4,661E-2; -2,545E-1; 7,915E-1; -1,345E0; ; ; ;; 1,666E-1; -2,667E-1; 7,201E-1; -9,254E-1; ; ; ;
146; 2,417E0; -3,089E-2; -2,890E-1; 9,429E-1; -2,069E0; ; ; ;; 1,768E-1; -2,965E-1; 6,127E-1; -1,787E0; ; ; ;
147; 2,434E0; -2,058E-2; -3,319E-1; 6,182E-1; -2,570E0; ; ; ;; 1,805E-1; -3,436E-1; 2,260E-1; -2,827E0; ; ; ;
148; 2,451E0; -1,069E-2; -3,819E-1; 5,935E-1; -3,003E0; ; ; ;; 1,865E-1; -3,874E-1; 3,572E-1; -2,628E0; ; ; ;
149; 2,467E0; -1,261E-3; -4,159E-1; 5,655E-1; -2,036E0; ; ; ;; 1,906E-1; -4,193E-1; 2,435E-1; -1,916E0; ; ; ;
150; 2,484E0; 1,904E-4; -4,352E-1; 8,706E-2; -1,161E0; ; ; ;; 1,904E-1; -4,391E-1; -1,057E-2; -1,187E0; ; ; ;
151; 2,501E0; -7,672E-3; -4,400E-1; -4,716E-1; -2,860E-1; ; ; ;; 1,847E-1; -4,442E-1; -3,421E-1; -3,041E-1; ; ; ;
152; 2,517E0; -2,421E-2; -4,536E-1; -9,921E-1; -8,185E-1; ; ; ;; 1,693E-1; -4,590E-1; -9,230E-1; -8,879E-1; ; ; ;
153; 2,534E0; -4,509E-2; -4,779E-1; -1,252E0; -1,458E0; ; ; ;; 1,467E-1; -4,842E-1; -1,355E0; -1,511E0; ; ; ;
154; 2,551E0; -7,477E-2; -5,073E-1; -1,780E0; -1,761E0; ; ; ;; 1,132E-1; -5,116E-1; -2,010E0; -1,643E0; ; ; ;
155; 2,567E0; -1,098E-1; -5,417E-1; -2,104E0; -2,061E0; ; ; ;; 7,913E-2; -5,450E-1; -2,043E0; -2,004E0; ; ; ;
156; 2,584E0; -1,476E-1; -5,885E-1; -2,265E0; -2,810E0; ; ; ;; 4,380E-2; -5,929E-1; -2,119E0; -2,877E0; ; ; ;
157; 2,601E0; -1,872E-1; -6,446E-1; -2,373E0; -3,364E0; ; ; ;; 3,146E-3; -6,496E-1; -2,438E0; -3,401E0; ; ; ;
158; 2,617E0; -2,237E-1; -7,035E-1; -2,192E0; -3,535E0; ; ; ;; -3,652E-2; -7,070E-1; -2,379E0; -3,442E0; ; ; ;
159; 2,634E0; -2,539E-1; -7,753E-1; -1,813E0; -4,308E0; ; ; ;; -6,548E-2; -7,795E-1; -1,737E0; -4,347E0; ; ; ;
160; 2,651E0; -2,786E-1; -8,516E-1; -1,478E0; -4,576E0; ; ; ;; -8,583E-2; -8,550E-1; -1,221E0; -4,532E0; ; ; ;
161; 2,667E0; -3,023E-1; -9,456E-1; -1,424E0; -5,636E0; ; ; ;; -1,118E-1; -9,496E-1; -1,556E0; -5,671E0; ; ; ;
162; 2,684E0; -3,200E-1; -1,067E0; -1,058E0; -7,290E0; ; ; ;; -1,324E-1; -1,071E0; -1,237E0; -7,311E0; ; ; ;
163; 2,701E0; -3,365E-1; -1,209E0; -9,920E-1; -8,528E0; ; ; ;; -1,494E-1; -1,213E0; -1,022E0; -8,507E0; ; ; ;
164; 2,717E0; -3,429E-1; -1,366E0; -3,832E-1; -9,399E0; ; ; ;; -1,558E-1; -1,369E0; -3,820E-1; -9,329E0; ; ; ;
165; 2,734E0; -3,465E-1; -1,544E0; -2,198E-1; -1,067E1; ; ; ;; -1,595E-1; -1,547E0; -2,191E-1; -1,066E1; ; ; ;
166; 2,751E0; -3,451E-1; -1,738E0; 8,413E-2; -1,163E1; ; ; ;; -1,568E-1; -1,742E0; 1,573E-1; -1,172E1; ; ; ;
167; 2,767E0; -3,232E-1; -1,935E0; 1,313E0; -1,183E1; ; ; ;; -1,396E-1; -1,937E0; 1,033E0; -1,172E1; ; ; ;
168; 2,784E0; -3,006E-1; -2,158E0; 1,356E0; -1,336E1; ; ; ;; -1,201E-1; -2,160E0; 1,170E0; -1,338E1; ; ; ;
169; 2,801E0; -2,681E-1; -2,398E0; 1,953E0; -1,440E1; ; ; ;; -9,082E-2; -2,401E0; 1,757E0; -1,446E1; ; ; ;
170; 2,817E0; -2,361E-1; -2,662E0; 1,921E0; -1,585E1; ; ; ;; -5,928E-2; -2,666E0; 1,892E0; -1,586E1; ; ; ;
171; 2,834E0; -1,924E-1; -2,955E0; 2,619E0; -1,757E1; ; ; ;; -1,320E-2; -2,960E0; 2,764E0; -1,765E1; ; ; ;
172; 2,851E0; -1,432E-1; -3,261E0; 2,949E0; -1,835E1; ; ; ;; 4,115E-2; -3,266E0; 3,260E0; -1,834E1; ; ; ;
173; 2,867E0; -7,339E-2; -3,579E0; 4,189E0; -1,911E1; ; ; ;; 1,079E-1; -3,582E0; 4,002E0; -1,894E1; ; ; ;
174; 2,884E0; -1,482E-2; -3,897E0; 3,513E0; -1,903E1; ; ; ;; 1,657E-1; -3,901E0; 3,471E0; -1,915E1; ; ; ;
175; 2,901E0; 4,555E-2; -4,219E0; 3,621E0; -1,935E1; ; ; ;; 2,322E-1; -4,224E0; 3,985E0; -1,935E1; ; ; ;
176; 2,917E0; 1,087E-1; -4,541E0; 3,786E0; -1,933E1; ; ; ;; 2,931E-1; -4,544E0; 3,658E0; -1,924E1; ; ; ;
177; 2,934E0; 1,644E-1; -4,848E0; 3,346E0; -1,842E1; ; ; ;; 3,467E-1; -4,854E0; 3,215E0; -1,855E1; ; ; ;
178; 2,951E0; 2,129E-1; -5,145E0; 2,903E0; -1,782E1; ; ; ;; 3,951E-1; -5,151E0; 2,902E0; -1,783E1; ; ; ;
